day,event,trial,genotype,RU
63,1,A,foxonullS106Foxo,P
63,1,A,foxonullS106Foxo,P
63,1,A,foxonullS106Foxo,P
63,1,A,foxonullS106Foxo,P
63,1,A,foxonullS106Foxo,P
63,1,A,foxonullS106Foxo,P
63,1,A,foxonullS106Foxo,P
63,1,A,foxonullS106Foxo,P
63,1,A,foxonullS106Foxo,P
63,1,A,foxonullS106Foxo,P
63,1,A,foxonullS106Foxo,P
63,1,A,foxonullS106Foxo,P
63,1,A,foxonullS106Foxo,P
63,1,A,foxonullS106Foxo,P
63,1,A,foxonullS106Foxo,P
63,1,A,foxonullS106Foxo,P
63,1,A,foxonullS106Foxo,P
63,1,A,foxonullS106Foxo,P
63,1,A,foxonullS106Foxo,P
63,1,A,foxonullS106Foxo,P
63,1,A,foxonullS106Foxo,P
63,1,A,foxonullS106Foxo,P
63,1,A,foxonullS106Foxo,P
63,1,A,foxonullS106Foxo,P
63,1,A,foxonullS106Foxo,P
63,1,A,foxonullS106Foxo,P
63,1,A,foxonullS106Foxo,P
65,1,A,foxonullS106Foxo,P
65,1,A,foxonullS106Foxo,P
67,1,A,foxonullS106Foxo,P
67,1,A,foxonullS106Foxo,P
67,1,A,foxonullS106Foxo,P
67,1,A,foxonullS106Foxo,P
67,1,A,foxonullS106Foxo,P
67,1,A,foxonullS106Foxo,P
67,1,A,foxonullS106Foxo,P
70,1,A,foxonullS106Foxo,P
70,1,A,foxonullS106Foxo,P
70,1,A,foxonullS106Foxo,P
70,1,A,foxonullS106Foxo,P
70,1,A,foxonullS106Foxo,P
72,1,A,foxonullS106Foxo,P
72,1,A,foxonullS106Foxo,P
72,1,A,foxonullS106Foxo,P
72,1,A,foxonullS106Foxo,P
72,1,A,foxonullS106Foxo,P
72,1,A,foxonullS106Foxo,P
72,1,A,foxonullS106Foxo,P
72,1,A,foxonullS106Foxo,P
74,1,A,foxonullS106Foxo,P
74,1,A,foxonullS106Foxo,P
74,1,A,foxonullS106Foxo,P
77,1,A,foxonullS106Foxo,P
77,1,A,foxonullS106Foxo,P
7,1,A,S106Foxo,A
21,1,A,S106Foxo,A
30,1,A,S106Foxo,A
37,1,A,S106Foxo,A
37,1,A,S106Foxo,A
42,1,A,S106Foxo,A
46,1,A,S106Foxo,A
46,1,A,S106Foxo,A
46,1,A,S106Foxo,A
49,1,A,S106Foxo,A
49,1,A,S106Foxo,A
49,1,A,S106Foxo,A
51,1,A,S106Foxo,A
53,1,A,S106Foxo,A
53,1,A,S106Foxo,A
53,1,A,S106Foxo,A
53,1,A,S106Foxo,A
56,1,A,S106Foxo,A
56,1,A,S106Foxo,A
56,1,A,S106Foxo,A
56,1,A,S106Foxo,A
58,1,A,S106Foxo,A
58,1,A,S106Foxo,A
58,1,A,S106Foxo,A
58,1,A,S106Foxo,A
58,1,A,S106Foxo,A
58,1,A,S106Foxo,A
58,1,A,S106Foxo,A
58,1,A,S106Foxo,A
58,1,A,S106Foxo,A
60,1,A,S106Foxo,A
60,1,A,S106Foxo,A
60,1,A,S106Foxo,A
60,1,A,S106Foxo,A
60,1,A,S106Foxo,A
60,1,A,S106Foxo,A
60,1,A,S106Foxo,A
60,1,A,S106Foxo,A
60,1,A,S106Foxo,A
60,1,A,S106Foxo,A
63,1,A,S106Foxo,A
63,1,A,S106Foxo,A
63,1,A,S106Foxo,A
63,1,A,S106Foxo,A
63,1,A,S106Foxo,A
63,1,A,S106Foxo,A
63,1,A,S106Foxo,A
63,1,A,S106Foxo,A
63,1,A,S106Foxo,A
63,1,A,S106Foxo,A
63,1,A,S106Foxo,A
65,1,A,S106Foxo,A
65,1,A,S106Foxo,A
65,1,A,S106Foxo,A
65,1,A,S106Foxo,A
65,1,A,S106Foxo,A
65,1,A,S106Foxo,A
67,1,A,S106Foxo,A
67,1,A,S106Foxo,A
67,1,A,S106Foxo,A
67,1,A,S106Foxo,A
67,1,A,S106Foxo,A
67,1,A,S106Foxo,A
67,1,A,S106Foxo,A
67,1,A,S106Foxo,A
67,1,A,S106Foxo,A
67,1,A,S106Foxo,A
67,1,A,S106Foxo,A
67,1,A,S106Foxo,A
70,1,A,S106Foxo,A
70,1,A,S106Foxo,A
70,1,A,S106Foxo,A
70,1,A,S106Foxo,A
70,1,A,S106Foxo,A
70,1,A,S106Foxo,A
70,1,A,S106Foxo,A
70,1,A,S106Foxo,A
70,1,A,S106Foxo,A
70,1,A,S106Foxo,A
70,1,A,S106Foxo,A
70,1,A,S106Foxo,A
70,1,A,S106Foxo,A
70,1,A,S106Foxo,A
70,1,A,S106Foxo,A
72,1,A,S106Foxo,A
72,1,A,S106Foxo,A
72,1,A,S106Foxo,A
72,1,A,S106Foxo,A
72,1,A,S106Foxo,A
72,1,A,S106Foxo,A
72,1,A,S106Foxo,A
72,1,A,S106Foxo,A
72,1,A,S106Foxo,A
72,1,A,S106Foxo,A
72,1,A,S106Foxo,A
72,1,A,S106Foxo,A
74,1,A,S106Foxo,A
74,1,A,S106Foxo,A
74,1,A,S106Foxo,A
74,1,A,S106Foxo,A
74,1,A,S106Foxo,A
74,1,A,S106Foxo,A
74,1,A,S106Foxo,A
77,1,A,S106Foxo,A
77,1,A,S106Foxo,A
77,1,A,S106Foxo,A
77,1,A,S106Foxo,A
77,1,A,S106Foxo,A
77,1,A,S106Foxo,A
77,1,A,S106Foxo,A
77,1,A,S106Foxo,A
77,1,A,S106Foxo,A
77,1,A,S106Foxo,A
77,1,A,S106Foxo,A
77,1,A,S106Foxo,A
77,1,A,S106Foxo,A
77,1,A,S106Foxo,A
77,1,A,S106Foxo,A
79,1,A,S106Foxo,A
79,1,A,S106Foxo,A
79,1,A,S106Foxo,A
79,1,A,S106Foxo,A
79,1,A,S106Foxo,A
79,1,A,S106Foxo,A
79,1,A,S106Foxo,A
79,1,A,S106Foxo,A
79,1,A,S106Foxo,A
79,1,A,S106Foxo,A
79,1,A,S106Foxo,A
81,1,A,S106Foxo,A
81,1,A,S106Foxo,A
81,1,A,S106Foxo,A
81,1,A,S106Foxo,A
84,1,A,S106Foxo,A
84,1,A,S106Foxo,A
84,1,A,S106Foxo,A
84,1,A,S106Foxo,A
84,1,A,S106Foxo,A
84,1,A,S106Foxo,A
84,1,A,S106Foxo,A
86,1,A,S106Foxo,A
88,1,A,S106Foxo,A
88,1,A,S106Foxo,A
91,1,A,S106Foxo,A
4,1,A,S106Foxo,P
18,1,A,S106Foxo,P
39,1,A,S106Foxo,P
42,1,A,S106Foxo,P
44,1,A,S106Foxo,P
49,1,A,S106Foxo,P
49,1,A,S106Foxo,P
49,1,A,S106Foxo,P
49,1,A,S106Foxo,P
49,1,A,S106Foxo,P
51,1,A,S106Foxo,P
53,1,A,S106Foxo,P
56,1,A,S106Foxo,P
56,1,A,S106Foxo,P
56,1,A,S106Foxo,P
56,1,A,S106Foxo,P
56,1,A,S106Foxo,P
58,1,A,S106Foxo,P
58,1,A,S106Foxo,P
58,1,A,S106Foxo,P
60,1,A,S106Foxo,P
60,1,A,S106Foxo,P
60,1,A,S106Foxo,P
63,1,A,S106Foxo,P
63,1,A,S106Foxo,P
63,1,A,S106Foxo,P
63,1,A,S106Foxo,P
63,1,A,S106Foxo,P
63,1,A,S106Foxo,P
63,1,A,S106Foxo,P
63,1,A,S106Foxo,P
63,1,A,S106Foxo,P
65,1,A,S106Foxo,P
65,1,A,S106Foxo,P
65,1,A,S106Foxo,P
65,1,A,S106Foxo,P
65,1,A,S106Foxo,P
65,1,A,S106Foxo,P
65,1,A,S106Foxo,P
65,1,A,S106Foxo,P
65,1,A,S106Foxo,P
65,1,A,S106Foxo,P
65,1,A,S106Foxo,P
65,1,A,S106Foxo,P
67,1,A,S106Foxo,P
67,1,A,S106Foxo,P
67,1,A,S106Foxo,P
67,1,A,S106Foxo,P
67,1,A,S106Foxo,P
67,1,A,S106Foxo,P
67,1,A,S106Foxo,P
70,1,A,S106Foxo,P
70,1,A,S106Foxo,P
70,1,A,S106Foxo,P
70,1,A,S106Foxo,P
70,1,A,S106Foxo,P
70,1,A,S106Foxo,P
70,1,A,S106Foxo,P
70,1,A,S106Foxo,P
72,1,A,S106Foxo,P
72,1,A,S106Foxo,P
72,1,A,S106Foxo,P
72,1,A,S106Foxo,P
72,1,A,S106Foxo,P
72,1,A,S106Foxo,P
74,1,A,S106Foxo,P
74,1,A,S106Foxo,P
74,1,A,S106Foxo,P
74,1,A,S106Foxo,P
74,1,A,S106Foxo,P
74,1,A,S106Foxo,P
74,1,A,S106Foxo,P
74,1,A,S106Foxo,P
74,1,A,S106Foxo,P
74,1,A,S106Foxo,P
74,1,A,S106Foxo,P
74,1,A,S106Foxo,P
74,1,A,S106Foxo,P
77,1,A,S106Foxo,P
77,1,A,S106Foxo,P
77,1,A,S106Foxo,P
77,1,A,S106Foxo,P
77,1,A,S106Foxo,P
77,1,A,S106Foxo,P
77,1,A,S106Foxo,P
77,1,A,S106Foxo,P
77,1,A,S106Foxo,P
77,1,A,S106Foxo,P
77,1,A,S106Foxo,P
77,1,A,S106Foxo,P
79,1,A,S106Foxo,P
79,1,A,S106Foxo,P
79,1,A,S106Foxo,P
79,1,A,S106Foxo,P
79,1,A,S106Foxo,P
79,1,A,S106Foxo,P
79,1,A,S106Foxo,P
81,1,A,S106Foxo,P
81,1,A,S106Foxo,P
81,1,A,S106Foxo,P
81,1,A,S106Foxo,P
81,1,A,S106Foxo,P
81,1,A,S106Foxo,P
81,1,A,S106Foxo,P
81,1,A,S106Foxo,P
81,1,A,S106Foxo,P
81,1,A,S106Foxo,P
81,1,A,S106Foxo,P
81,1,A,S106Foxo,P
81,1,A,S106Foxo,P
81,1,A,S106Foxo,P
84,1,A,S106Foxo,P
84,1,A,S106Foxo,P
84,1,A,S106Foxo,P
84,1,A,S106Foxo,P
84,1,A,S106Foxo,P
84,1,A,S106Foxo,P
84,1,A,S106Foxo,P
84,1,A,S106Foxo,P
84,1,A,S106Foxo,P
84,1,A,S106Foxo,P
84,1,A,S106Foxo,P
84,1,A,S106Foxo,P
84,1,A,S106Foxo,P
84,1,A,S106Foxo,P
84,1,A,S106Foxo,P
84,1,A,S106Foxo,P
86,1,A,S106Foxo,P
86,1,A,S106Foxo,P
86,1,A,S106Foxo,P
86,1,A,S106Foxo,P
88,1,A,S106Foxo,P
88,1,A,S106Foxo,P
88,1,A,S106Foxo,P
91,1,A,S106Foxo,P
91,1,A,S106Foxo,P
91,1,A,S106Foxo,P
91,1,A,S106Foxo,P
91,1,A,S106Foxo,P
91,1,A,S106Foxo,P
91,1,A,S106Foxo,P
91,1,A,S106Foxo,P
91,1,A,S106Foxo,P
93,1,A,S106Foxo,P
93,1,A,S106Foxo,P
4,0,A,foxonullS106Foxo,A
4,0,A,foxonullS106Foxo,A
28,0,A,foxonullS106Foxo,A
53,0,A,foxonullS106Foxo,A
11,0,A,foxonullS106Foxo,P
26,0,A,foxonullS106Foxo,P
26,0,A,foxonullS106Foxo,P
28,0,A,S106Foxo,A
74,0,A,S106Foxo,P
88,0,A,S106Foxo,P
7,1,B,S106Foxo,A
51,1,B,S106Foxo,A
51,1,B,S106Foxo,A
53,1,B,S106Foxo,A
58,1,B,S106Foxo,A
60,1,B,S106Foxo,A
60,1,B,S106Foxo,A
60,1,B,S106Foxo,A
60,1,B,S106Foxo,A
63,1,B,S106Foxo,A
63,1,B,S106Foxo,A
63,1,B,S106Foxo,A
63,1,B,S106Foxo,A
63,1,B,S106Foxo,A
63,1,B,S106Foxo,A
63,1,B,S106Foxo,A
63,1,B,S106Foxo,A
63,1,B,S106Foxo,A
63,1,B,S106Foxo,A
65,1,B,S106Foxo,A
65,1,B,S106Foxo,A
65,1,B,S106Foxo,A
67,1,B,S106Foxo,A
67,1,B,S106Foxo,A
67,1,B,S106Foxo,A
67,1,B,S106Foxo,A
70,1,B,S106Foxo,A
70,1,B,S106Foxo,A
70,1,B,S106Foxo,A
70,1,B,S106Foxo,A
70,1,B,S106Foxo,A
70,1,B,S106Foxo,A
70,1,B,S106Foxo,A
70,1,B,S106Foxo,A
70,1,B,S106Foxo,A
72,1,B,S106Foxo,A
72,1,B,S106Foxo,A
72,1,B,S106Foxo,A
72,1,B,S106Foxo,A
72,1,B,S106Foxo,A
72,1,B,S106Foxo,A
72,1,B,S106Foxo,A
72,1,B,S106Foxo,A
72,1,B,S106Foxo,A
74,1,B,S106Foxo,A
74,1,B,S106Foxo,A
74,1,B,S106Foxo,A
74,1,B,S106Foxo,A
74,1,B,S106Foxo,A
74,1,B,S106Foxo,A
74,1,B,S106Foxo,A
74,1,B,S106Foxo,A
74,1,B,S106Foxo,A
74,1,B,S106Foxo,A
74,1,B,S106Foxo,A
77,1,B,S106Foxo,A
77,1,B,S106Foxo,A
77,1,B,S106Foxo,A
77,1,B,S106Foxo,A
77,1,B,S106Foxo,A
77,1,B,S106Foxo,A
77,1,B,S106Foxo,A
77,1,B,S106Foxo,A
77,1,B,S106Foxo,A
77,1,B,S106Foxo,A
77,1,B,S106Foxo,A
77,1,B,S106Foxo,A
77,1,B,S106Foxo,A
77,1,B,S106Foxo,A
77,1,B,S106Foxo,A
77,1,B,S106Foxo,A
79,1,B,S106Foxo,A
79,1,B,S106Foxo,A
79,1,B,S106Foxo,A
79,1,B,S106Foxo,A
79,1,B,S106Foxo,A
79,1,B,S106Foxo,A
79,1,B,S106Foxo,A
81,1,B,S106Foxo,A
81,1,B,S106Foxo,A
81,1,B,S106Foxo,A
81,1,B,S106Foxo,A
81,1,B,S106Foxo,A
84,1,B,S106Foxo,A
84,1,B,S106Foxo,A
84,1,B,S106Foxo,A
84,1,B,S106Foxo,A
84,1,B,S106Foxo,A
84,1,B,S106Foxo,A
84,1,B,S106Foxo,A
84,1,B,S106Foxo,A
84,1,B,S106Foxo,A
84,1,B,S106Foxo,A
84,1,B,S106Foxo,A
